Company Number,Company Name,Date Incorporated,Active Directors,Registered Address
01305146,F. WILSON (INSURANCE BROKERS) LIMITED,3/28/1977,7,"Adlington Court Adlington Business Park, Adlington, Macclesfield, Cheshire, England, SK10 4NL"
07435625,FALCON INSURANCE SERVICES LIMITED,11/10/2010,1,"Hunters Lodge Lyminster Road, Wick, Littlehampton, England, BN17 7PS"
10477419,FALCON MGA SERVICES LIMITED,11/14/2016,4,"Number One Vicarage Lane, Stratford, London, United Kingdom, E15 4HF"
03740623,FARMER INSURANCE AGENCY LTD,3/24/1999,1,"Hexagon House Hexagon House, Grimbald Crag Close, Knaresborough, United Kingdom, HG5 8PJ"
11775867,FC MORTGAGE AND PROTECTION LTD,1/18/2019,1,"11 Ellis House, Ellis Court, Harrogate, United Kingdom, HG1 2SH"
04807956,FENTON SIMPSON FINANCIAL SERVICES LTD,6/23/2003,2,"Ian Walker & Co Chartered Accountants Heworth House, Melrosegate, Heworth, York, North Yorkshire, England, YO31 0RP"
01973074,FINANCE INTERNATIONAL LIMITED,12/19/1985,2,"Dockmaster's House, 1 Hertsmere Road, London, England, E14 8JJ"
04088545,FINANCE INTERNATIONAL UK LIMITED,10/11/2000,1,"239-241 Kennington Lane, London, United Kingdom, SE11 5QU"
01807791,FINANCIAL AFFAIRS LIMITED,4/11/1984,6,"8 Standish Street, Burnley, Lancashire, United Kingdom, BB11 1AP"
NI064828,FIND INSURANCE NI LTD,5/23/2007,4,"42-44 Spencer Road, Londonderry, BT47 6AA"
05856869,FIRST UNION FINANCE LIMITED,6/23/2006,1,"Alban House Garnell Business Park, Brownfields, Welwyn Garden City, Hertfordshire, AL7 1AY"
05856873,FIRST UNION FINANCES LIMITED,6/23/2006,1,"Alban House Garnell Business Park, Brownfields, Welwyn Garden City, Hertfordshire, AL7 1AY"
05856908,FIRST UNION GROUP LIMITED,6/26/2006,1,"Alban House Garnell Business Park, Brownfields, Welwyn Garden City, Hertfordshire, AL7 1AY"
07384382,FIRST UNION LIMITED,9/22/2010,1,"Alban House Garnell Business Park, Brownfields, Welwyn Garden City, Hertfordshire, AL7 1AY"
05924713,FIRST UNION VENTURES LIMITED,9/5/2006,1,"Alban House Garnell Business Park, Brownfields, Welwyn Garden City, Hertfordshire, AL7 1AY"
01207425,FIVEWAYS INSURANCE CONSULTANTS LIMITED,4/14/1975,1,"51 High Street, Newport Shropshire, Shropshire, TF10 7AT"
05801781,FLAG INSURANCE (BROKERS) LIMITED,5/2/2006,3,"1 Rectory Row, Bracknell, Berkshire, RG12 7BN"
08953371,FORCES ADVICE LTD,3/21/2014,3,"Unit 4, Barnes Croft Coles Lane, Milborne St. Andrew, Blandford Forum, Dorset, England, DT11 0LG"
10345563,FORCES COMPARE LIMITED,8/25/2016,2,"Wellfield House Park House Lane, Keynsham, Bristol, United Kingdom, BS31 2SG"
03747937,FORGE LIMITED,4/8/1999,2,"Norfolk House, 75 Bartholomew Street, Newbury, Berkshire, RG14 5DU"
05098077,FORRESTER ACCESS LIMITED,4/7/2004,1,"Burghfields Cottage Cemetery Lane, Bourton-On-The-Water, Cheltenham, Gloucestershire, England, GL54 2LB"
